Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"118406339861521","342.61","335","USD","DEPOSIT","PROCESSED","2026-01-31 13:11:36","","","","0","CFD"
"118406257023922","7.61","343","USD","DEPOSIT","DECLINED","2026-01-31 13:10:16","","","","","CFD"
"118317207707107","125.49","114","USD","DEPOSIT","PROCESSED","2026-01-30 13:34:53","","","","0","CFD"
"118147970696606","44","44","USD","DEPOSIT","PROCESSED","2026-01-28 16:44:57","","","","0","CFD"
"117881658611584","170.67","21","USD","DEPOSIT","PROCESSED","2026-01-25 18:12:01","","","","0","CFD"
"117616476916371","85.54","24","USD","DEPOSIT","PROCESSED","2026-01-22 19:57:04","","","","0","CFD"
"117451562082625","280.58","227","USD","DEPOSIT","PROCESSED","2026-01-21 00:15:49","","","","0","CFD"
"117375369383027","185.48","160","USD","DEPOSIT","PROCESSED","2026-01-20 04:04:46","","","","0","CFD"
"116880347204381","285.9","175","USD","DEPOSIT","PROCESSED","2026-01-14 16:56:36","","","","0","CFD"
"116879330068569","110.9","85","USD","DEPOSIT","PROCESSED","2026-01-14 16:40:27","","","","0","CFD"
"116663386288841","400","400","USD","DEPOSIT","PROCESSED","2026-01-12 07:28:06","","","","0","CFD"
"116617212226740","648.56","190","USD","DEPOSIT","PROCESSED","2026-01-11 19:14:11","","","","0","CFD"
"116052025662267","230.35","190","USD","DEPOSIT","PROCESSED","2026-01-05 13:30:47","","","","0","CFD"
"115774330227162","221.44","190","USD","DEPOSIT","PROCESSED","2026-01-02 11:56:56","","","","0","CFD"
"114790104194786","796.3","55","USD","DEPOSIT","PROCESSED","2025-12-22 15:13:05","","","","0","CFD"
"113603760085016","107.71","95","USD","DEPOSIT","PROCESSED","2025-12-09 12:56:39","","","","0","CFD"
"111962848670771","21.8","20","USD","DEPOSIT","PROCESSED","2025-11-21 10:15:04","","","","0","CFD"
"111708448414530","100.75","95","USD","DEPOSIT","PROCESSED","2025-11-18 14:51:29","","","","0","CFD"
"111687138258014","38.47","30","USD","DEPOSIT","PROCESSED","2025-11-18 09:12:46","","","","0","CFD"
"111629786290769","24.33","20","USD","DEPOSIT","PROCESSED","2025-11-17 18:01:11","","","","0","CFD"
"111160455320813","40.61","25","USD","DEPOSIT","PROCESSED","2025-11-12 13:41:23","","","","0","CFD"
"111076493751421","28.58","24","USD","DEPOSIT","PROCESSED","2025-11-11 15:26:50","","","","0","CFD"
"110540315899235","75","75","USD","DEPOSIT","PROCESSED","2025-11-05 17:24:31","","","","0","CFD"
"110365142812486","68.13","45","USD","DEPOSIT","PROCESSED","2025-11-03 19:00:14","","","","0","CFD"
"109264342583920","55.88","45","USD","DEPOSIT","PROCESSED","2025-10-22 15:23:29","","","","0","CFD"
"109167605073025","201.32","193","USD","DEPOSIT","PROCESSED","2025-10-21 13:45:52","","","","0","CFD"
"109005817127780","52.14","39","USD","DEPOSIT","PROCESSED","2025-10-19 18:54:19","","","","0","CFD"
"108287605575695","34.96","23","USD","DEPOSIT","PROCESSED","2025-10-11 20:38:39","","","","0","CFD"
"107261468081333","85","85","USD","DEPOSIT","PROCESSED","2025-09-30 12:48:38","","","","0","CFD"
"106738103783858","150.15","40","USD","DEPOSIT","PROCESSED","2025-09-24 18:09:59","","","","0","CFD"
"106608887831165","132.02","90","USD","DEPOSIT","PROCESSED","2025-09-23 07:56:09","","","","0","CFD"
"106301104542305","90","90","USD","DEPOSIT","PROCESSED","2025-09-19 22:24:04","","","","0","CFD"
"105003198082317","480","480","USD","DEPOSIT","PROCESSED","2025-09-05 14:34:24","","","","0","CFD"
"105003154041305","0","492","USD","DEPOSIT","DECLINED","2025-09-05 14:33:41","","","","","CFD"
"104820377872147","172.72","100","USD","DEPOSIT","PROCESSED","2025-09-03 14:08:33","","","","0","CFD"
"104642026611192","190","197","USD","DEPOSIT","DECLINED","2025-09-01 14:53:43","","","","0","CFD"
"104640464210024","190","190","USD","DEPOSIT","PROCESSED","2025-09-01 14:28:54","","","","0","CFD"
"101571535010289","98.28","95","USD","DEPOSIT","PROCESSED","2025-07-29 17:29:35","","","","0","CFD"
"101163412380802","491.43","239","USD","DEPOSIT","PROCESSED","2025-07-25 05:22:39","","","","0","CFD"
"101163343174612","252.43","238","USD","DEPOSIT","DECLINED","2025-07-25 05:21:32","","","","","CFD"
"100890928424482","692.8","95","USD","DEPOSIT","PROCESSED","2025-07-22 05:11:38","","","","0","CFD"
"100890555130435","597.8","96","USD","DEPOSIT","DECLINED","2025-07-22 05:05:41","","","","","CFD"
"100639994798147","320.38","47","USD","DEPOSIT","PROCESSED","2025-07-19 10:43:09","","","","0","CFD"
"100201879805038","146.23","121","USD","DEPOSIT","PROCESSED","2025-07-14 14:39:30","","","","0","CFD"
"100174267553242","25.23","20","USD","DEPOSIT","PROCESSED","2025-07-14 07:20:37","","","","0","CFD"
"99896325768741","5.23","20","USD","DEPOSIT","DECLINED","2025-07-11 05:42:50","","","","0","CFD"
"98993119123326","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 06:26:45","","","","0","CFD"
"98992992245000","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 06:24:44","","","","0","CFD"
"98992942961755","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 06:23:57","","","","0","CFD"
"98992692350704","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 06:19:58","","","","0","CFD"
"98990553247453","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 05:45:58","","","","0","CFD"
"98990488235514","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 05:44:56","","","","","CFD"
"98989791978068","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 05:33:52","","","","0","CFD"
"98989574921947","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 05:30:25","","","","","CFD"
"98989542415780","28.99","70","USD","DEPOSIT","DECLINED","2025-07-01 05:29:54","","","","","CFD"
"98770334423663","99.2","70","USD","DEPOSIT","PROCESSED","2025-06-28 19:25:42","","","","0","CFD"
"98593965076751","25.92","20","USD","DEPOSIT","PROCESSED","2025-06-26 20:42:24","","","","0","CFD"
"98294725505035","66.94","47","USD","DEPOSIT","DECLINED","2025-06-23 13:26:05","","","","0","CFD"
"98293492364806","66.94","47","USD","DEPOSIT","PROCESSED","2025-06-23 13:06:30","","","","0","CFD"
"97188495668364","76.38","60","USD","DEPOSIT","PROCESSED","2025-06-11 08:23:03","","","","0","CFD"
"96019102749555","645.72","100","USD","DEPOSIT","PROCESSED","2025-05-29 10:36:03","","","","0","CFD"
"94846375340273","90.58","20","USD","DEPOSIT","PROCESSED","2025-05-16 11:56:03","","","","0","CFD"
"94765881398124","50.44","24","USD","DEPOSIT","PROCESSED","2025-05-15 14:36:38","","","","0","CFD"
"94673724221712","47.44","35","USD","DEPOSIT","PROCESSED","2025-05-14 14:11:50","","","","0","CFD"
"94673615168027","12.44","35","USD","DEPOSIT","DECLINED","2025-05-14 14:10:05","","","","0","CFD"
"94673569029742","12.44","36","USD","DEPOSIT","DECLINED","2025-05-14 14:09:21","","","","","CFD"
"94550469361673","85.06","25","USD","DEPOSIT","PROCESSED","2025-05-13 05:32:45","","","","0","CFD"
"94428213674765","22","22","USD","DEPOSIT","PROCESSED","2025-05-11 21:09:33","","","","0","CFD"
"94428149831372","0","22","USD","DEPOSIT","DECLINED","2025-05-11 21:08:31","","","","","CFD"
"94138357965891","22.4","20","USD","DEPOSIT","PROCESSED","2025-05-08 16:22:24","","","","0","CFD"
"93397401658422","149.07","90","USD","DEPOSIT","PROCESSED","2025-04-30 12:05:15","","","","0","CFD"
"93318579129784","223.51","20","USD","DEPOSIT","PROCESSED","2025-04-29 15:12:24","","","","0","CFD"
"93193116014477","154.2","100","USD","DEPOSIT","DECLINED","2025-04-28 05:58:11","","","","0","CFD"
