Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"118952535721081","1083.64","-300","USD","WITHDRAWAL","PROCESSED","2026-02-06 13:53:17","","","","0","CFD"
"118760314970448","1457.09","-500","USD","WITHDRAWAL","PROCESSED","2026-02-04 10:57:57","","","","0","CFD"
"118757425073052","1150.44","-500","USD","WITHDRAWAL","PROCESSED","2026-02-04 14:20:17","","","","0","CFD"
"117370772404867","25.48","-700","USD","WITHDRAWAL","PROCESSED","2026-01-20 02:51:45","","","","0","CFD"
"116635197441499","0","-492.39","USD","WITHDRAWAL","PROCESSED","2026-01-12 00:00:08","","","","0","CFD"
"116427349704100","508.44","-382.29","USD","WITHDRAWAL","PROCESSED","2026-01-09 16:56:30","","","","0","CFD"
"116391997038520","1044.01","-50","USD","WITHDRAWAL","PROCESSED","2026-01-09 07:34:34","","","","0","CFD"
"115801391767511","93.37","-20","USD","WITHDRAWAL","CANCELLED","2026-01-02 19:33:53","","","","0","CFD"
"114442469789102","800.02","-75","USD","WITHDRAWAL","PROCESSED","2025-12-18 19:07:39","","","","0","CFD"
"110458058207531","0","-43.12","USD","WITHDRAWAL","PROCESSED","2025-11-04 19:37:06","","","","0","CFD"
"106821992976104","0","-52.95","USD","WITHDRAWAL","PROCESSED","2025-09-25 16:23:27","","","","0","CFD"
"105181133020873","0","-419.17","USD","WITHDRAWAL","PROCESSED","2025-09-07 13:42:42","","","","0","CFD"
"105002535365467","0","-311.3","USD","WITHDRAWAL","PROCESSED","2025-09-05 14:24:01","","","","0","CFD"
"105002518587646","311.3","-20","USD","WITHDRAWAL","PROCESSED","2025-09-05 14:23:40","","","","0","CFD"
"104995935745860","424.18","-50","USD","WITHDRAWAL","PROCESSED","2025-09-05 12:39:04","","","","0","CFD"
"104995842419412","474.18","-50","USD","WITHDRAWAL","CANCELLED","2025-09-05 12:38:31","","","","0","CFD"
"102747757311417","0","-486.41","USD","WITHDRAWAL","PROCESSED","2025-08-11 17:05:14","","","","0","CFD"
"102623927778993","703.79","-50","USD","WITHDRAWAL","CANCELLED","2025-08-11 04:43:57","","","","0","CFD"
"102471119808038","732.09","-100","USD","WITHDRAWAL","PROCESSED","2025-08-08 15:48:11","","","","0","CFD"
"102451374135231","850.4","-41.06","USD","WITHDRAWAL","PROCESSED","2025-08-08 10:34:19","","","","","CFD"
"102403027493259","891.46","-41.06","USD","WITHDRAWAL","DECLINED","2025-08-08 10:34:14","","","","0","CFD"
"101569223935640","3.28","-490","USD","WITHDRAWAL","PROCESSED","2025-07-29 16:52:55","","","","0","CFD"
"101439197299846","1293.32","-150","USD","WITHDRAWAL","CANCELLED","2025-07-28 13:29:49","","","","0","CFD"
"99096779264632","20.24","-20","USD","WITHDRAWAL","DECLINED","2025-07-02 09:54:26","","","","0","CFD"
"93318461687965","203.51","-46.1","USD","WITHDRAWAL","PROCESSED","2025-04-29 15:10:34","","","","0","CFD"
"93225804338555","157.3","-20","USD","WITHDRAWAL","PROCESSED","2025-04-28 14:37:51","","","","0","CFD"
"93217406295692","146.52","-20","USD","WITHDRAWAL","PROCESSED","2025-04-28 12:24:20","","","","0","CFD"
"93192017103111","32.03","-20","USD","WITHDRAWAL","PROCESSED","2025-04-28 05:40:48","","","","0","CFD"
